Time,Temp.,DSC,DDSC
67.84333333333333,-66.5372161865234,1021.736328125,2335.67578125
67.85166666666667,-66.57958984375,1001.72583007813,2353.0634765625
67.86,-66.6219253540039,981.765380859375,2364.0556640625
67.86833333333334,-66.664306640625,961.838134765625,2367.017578125
67.87666666666667,-66.7067413330078,942.14892578125,2364.0322265625
67.885,-66.7492065429688,922.53466796875,2351.015625
67.89333333333333,-66.7917022705078,902.7998046875,2329.8076171875
67.90166666666667,-66.8341751098633,883.176025390625,2306.23828125
67.91,-66.8766784667969,863.765625,2277.62109375
67.91833333333334,-66.9191818237305,844.602783203125,2246.1328125
67.92666666666666,-66.96240234375,825.818359375,2212.3125
67.935,-67.0055236816406,807.5751953125,2169.52734375
67.94333333333333,-67.048713684082,789.578857421875,2123.07421875
67.95166666666667,-67.0918350219727,772.036376953125,2073.6474609375
67.96,-67.1349182128906,754.97119140625,2020.3388671875
67.96833333333333,-67.1780090332031,738.17529296875,1965.1875
67.97666666666667,-67.2210998535156,722.005859375,1910.5810546875
67.985,-67.2641830444336,706.253173828125,1852.5380859375
67.99333333333334,-67.3071670532227,690.961669921875,1795.224609375
68.00166666666667,-67.3501434326172,676.2412109375,1738.763671875
68.01,-67.3930969238281,662.052734375,1678.4970703125
68.01833333333333,-67.4359893798828,648.360107421875,1620.2724609375
68.02666666666667,-67.4788436889648,635.20068359375,1559.6455078125
68.035,-67.5216979980469,622.434326171875,1498.734375
68.04333333333334,-67.5645217895508,610.07421875,1440.5830078125
68.05166666666666,-67.607307434082,598.300537109375,1383.8759765625
68.06,-67.6500015258789,586.983154296875,1327.142578125
68.06833333333333,-67.6926803588867,576.28271484375,1271.66015625
68.07666666666667,-67.7353439331055,566.067138671875,1216.5732421875
68.085,-67.7779388427734,556.192626953125,1160.2880859375
68.09333333333333,-67.8204803466797,546.729736328125,1106.671875
68.10166666666667,-67.8629608154297,537.764892578125,1055.783203125
68.11,-67.9053344726563,529.22900390625,1007.6455078125
68.11833333333334,-67.9476470947266,521.05322265625,962.736328125
68.12666666666667,-67.9898910522461,513.383544921875,918.3720703125
68.135,-68.0320663452148,506.077880859375,875.05078125
68.14333333333333,-68.0742340087891,499.001220703125,835.4619140625
68.15166666666667,-68.1163024902344,492.312255859375,795.78515625
68.16,-68.1583480834961,485.839111328125,757.212890625
68.16833333333334,-68.2003173828125,479.66162109375,722.87109375
68.17666666666666,-68.2422561645508,473.808837890625,688.76953125
68.185,-68.2841949462891,468.14306640625,655.4443359375
68.19333333333333,-68.3261184692383,462.91357421875,624.62109375
68.20166666666667,-68.3679733276367,457.9521484375,592.72265625
68.21,-68.4098129272461,453.144287109375,562.34765625
68.21833333333333,-68.4516143798828,448.680419921875,535.6142578125
68.22666666666667,-68.4933471679688,444.380859375,509.26171875
68.235,-68.5350646972656,440.260498046875,486.55078125
68.24333333333334,-68.5767822265625,436.445556640625,465.6884765625
68.25166666666667,-68.6184310913086,432.79931640625,444.2080078125
68.26,-68.6600341796875,429.17431640625,425.49609375
68.26833333333333,-68.7015762329102,425.70458984375,408.76171875
68.27666666666667,-68.7431030273438,422.36767578125,392.080078125
68.285,-68.7845687866211,419.144775390625,378.205078125
68.29333333333334,-68.8260269165039,416.126953125,365.1650390625
68.30166666666666,-68.8675231933594,413.222412109375,350.4052734375
68.31,-68.9089965820313,410.3173828125,335.87109375
68.31833333333333,-68.9504089355469,407.587158203125,322.3447265625
68.32666666666667,-68.9917602539063,404.928466796875,309.7939453125
68.335,-69.0331039428711,402.368896484375,298.0634765625
68.34333333333333,-69.074462890625,399.973876953125,287.8359375
68.35166666666667,-69.1157379150391,397.71533203125,276.333984375
68.36,-69.1570205688477,395.505615234375,265.5556640625
68.36833333333334,-69.1982727050781,393.32861328125,255.3662109375
68.37666666666667,-69.2394561767578,391.288330078125,247.6435546875
68.385,-69.2805557250977,389.236083984375,240.7353515625
68.39333333333333,-69.321662902832,387.28955078125,234.017578125
68.40166666666667,-69.3628005981445,385.45751953125,226.013671875
68.41,-69.4039154052734,383.64794921875,217.763671875
68.41833333333334,-69.4450149536133,381.73193359375,211.0517578125
68.42666666666666,-69.4860763549805,379.91259765625,202.0576171875
68.435,-69.5271987915039,378.2138671875,195.8173828125
68.44333333333333,-69.5683288574219,376.671142578125,190.6025390625
68.45166666666667,-69.6094512939453,375.181640625,184.318359375
68.46,-69.6505889892578,373.70068359375,176.0595703125
68.46833333333333,-69.6917495727539,372.39794921875,169.125
68.47666666666667,-69.7329025268555,370.971435546875,163.1865234375
