Time / min,Temp / dC,DSC / microW mg-1,DDSC / microW mg-1min-1
0,36.6714744567871,-0.05590056093662661,4.851015537660705
0.008333333333333333,36.6714363098145,-0.0527618049975545,15.97101372537032
0.016666666666666666,36.6713638305664,-0.05712876978235048,37.19814720601593
0.025,36.6711349487305,-0.09017099942356065,73.34351472977222
0.03333333333333333,36.6706809997559,-0.044966090518446064,123.95922947089855
0.041666666666666664,36.669807434082,-0.3156837902634153,193.90367622012997
0.05,36.6683464050293,-1.245591412582099,276.3234496183273
0.058333333333333334,36.6660118103027,-3.042375661595165,370.9714749860257
0.06666666666666667,36.662483215332,-6.08502425848938,466.6010439229318
0.075,36.6574363708496,-10.339147355584489,559.6159609287674
0.08333333333333333,36.6504554748535,-16.214540245947457,648.4154604746032
0.09166666666666666,36.6410980224609,-23.07971593985816,716.9779675709195
0.1,36.6289367675781,-30.97141835195109,767.0012762454584
0.10833333333333334,36.6134948730469,-38.97359132633455,784.0842283791587
0.11666666666666667,36.594310760498,-46.679629501249025,770.3262422923086
0.125,36.5709533691406,-54.35030549648016,719.9054033547038
0.13333333333333333,36.5429496765137,-60.99375537682532,635.7147575024455
0.14166666666666666,36.5099754333496,-66.95914868205003,515.4962427726747
0.15,36.4716873168945,-71.42537662341924,382.5424305215903
0.15833333333333333,36.4277458190918,-74.53300087994354,225.71633233912104
0.16666666666666666,36.3778800964355,-76.20665719217271,50.2224832090204
0.175,36.3218154907227,-76.05594573172863,-125.65763760306038
0.18333333333333332,36.259391784668,-73.92943858300727,-314.6738614231079
0.19166666666666668,36.1904830932617,-70.85212720313388,-500.03841564334266
0.2,36.1148529052734,-65.48932386284237,-687.2125308962773
0.20833333333333334,36.032527923584,-58.535512430565404,-868.8453772402544
0.21666666666666667,35.9433517456055,-50.52228557657043,-1040.2756974042761
0.225,35.8473472595215,-40.736326896791226,-1195.7092114571687
0.23333333333333334,35.7444381713867,-29.75550865314086,-1353.899644965763
0.24166666666666667,35.6346549987793,-17.26528997192043,-1492.9975719675797
0.25,35.51806640625,-3.8028757554849077,-1619.082626248952
0.25833333333333336,35.3946800231934,10.633695718627726,-1737.6464024944103
0.26666666666666666,35.2645416259766,25.712995705090137,-1839.969573172862
0.275,35.1277465820313,41.97284321068,-1932.9669540857324
0.2833333333333333,34.9844207763672,58.92714046778927,-2010.6796853165176
0.2916666666666667,34.8345680236816,76.3880397568474,-2077.727333269285
0.3,34.6783981323242,94.28157561181192,-2133.907652887437
0.30833333333333335,34.5159873962402,112.59447655376607,-2182.5177025834964
0.31666666666666665,34.3474464416504,131.32507085400363,-2216.849415045067
0.325,34.1729850769043,150.29134478497065,-2242.7752661665036
0.3333333333333333,33.9927177429199,169.34106868362215,-2261.367482270123
0.3416666666666667,33.8067970275879,188.45933345924763,-2273.218878825461
0.35,33.6146965026855,207.5894709203815,-2277.9839197439214
0.35833333333333334,33.4165496826172,226.71029446443544,-2274.9731704601036
0.36666666666666664,33.2131729125977,245.82507931499805,-2265.9204524612214
0.375,33.004768371582,264.83532994602433,-2251.324418538639
0.38333333333333336,32.7914505004883,283.7164821806009,-2232.1565818893237
0.39166666666666666,32.5734367370605,302.4264698657602,-2209.251715125419
0.4,32.3509101867676,320.9061683923449,-2182.9402064264254
0.4083333333333333,32.1239547729492,339.11804915673844,-2151.9463562045835
0.4166666666666667,31.8927555084229,356.9514368951761,-2116.4195965361237
0.425,31.6575050354004,374.4723819500252,-2079.8005498008665
0.43333333333333335,31.4183368682861,391.69378051416714,-2039.2082474496926
0.44166666666666665,31.1754055023193,408.62197833330356,-1996.8637004786194
0.45,30.9289207458496,425.15394233204586,-1952.181462671185
0.4583333333333333,30.6789379119873,441.2036296573673,-1905.8829020227781
0.4666666666666667,30.4256114959717,457.03319466400507,-1856.6898625279487
0.475,30.1691341400146,472.3604904865679,-1808.2828766943824
0.48333333333333334,29.9096164703369,487.3114767655646,-1759.572113872974
0.49166666666666664,29.6471767425537,501.7998377126719,-1711.2265384816938
0.5,29.3820419311523,515.7750120637395,-1661.571692460872
0.5083333333333333,29.1142330169678,529.1965371606875,-1611.3944482776692
0.5166666666666667,28.843957901001,542.3840202386976,-1565.933526062046
0.525,28.5693664550781,555.2529878227194,-1524.4069661822248
0.5333333333333333,28.2924766540527,567.7561538721884,-1487.134102938094
0.5416666666666666,28.0136051177979,579.66793736244,-1456.338813146311
0.55,27.7328853607178,591.3160653538122,-1433.0224964190888
0.5583333333333333,27.4505310058594,602.8549509917384,-1413.5758563617944
0.5666666666666667,27.1667137145996,614.3453906140833,-1399.4719247833987
0.575,26.881664276123,625.7276796241784,-1390.6116261703467
0.5833333333333334,26.5956535339355,637.1365798259335,-1388.194511161962
0.5916666666666667,26.3089294433594,648.6150785289436,-1387.37079242943
0.6,26.021800994873,660.1820082688484,-1386.8287429255172
0.6083333333333333,25.73459815979,671.875648221336,-1383.410228304919
0.6166666666666667,25.4476432800293,683.6404560530493,-1375.2622908223868
0.625,25.1612854003906,695.3508132926048,-1361.3368589295696
0.6333333333333333,24.8758506774902,706.9302980562634,-1338.5175573819174
0.6416666666666667,24.5916690826416,718.4240129021969,-1303.7903616720234
0.65,24.3091201782227,729.6295763061598,-1259.1408761004752
0.6583333333333333,24.0285167694092,740.3328705260452,-1202.8848169368362
0.6666666666666666,23.7489013671875,750.5813180700643,-1134.249231414198
0.675,23.4712734222412,760.1582083107713,-1057.1545621681107
0.6833333333333333,23.1966705322266,768.8312050748492,-966.100071181526
0.6916666666666667,22.9254016876221,776.804054563041,-868.4631995877586
