,Time,Temp.,DSC,DDSC
30,13.751666666666667,200.818664550781,0,0.609375
31,13.76,200.818695068359,0.1181640625,3.9873046875
32,13.768333333333333,200.818695068359,0.1983642578125,10.18212890625
33,13.776666666666667,200.818695068359,0.211669921875,14.55615234375
34,13.785,200.818603515625,0.281005859375,19.69482421875
35,13.793333333333333,200.818405151367,0.2340087890625,25.376953125
36,13.801666666666666,200.818054199219,-0.0247802734375,26.50927734375
37,13.81,200.81755065918,-0.5377197265625,22.90576171875
38,13.818333333333333,200.816757202148,-1.0484619140625,7.75048828125
39,13.826666666666666,200.815673828125,-1.6141357421875,-20.3203125
40,13.835,200.814208984375,-2.11474609375,-66.3544921875
41,13.843333333333334,200.81233215332,-2.0909423828125,-127.3330078125
42,13.851666666666667,200.809799194336,-1.71044921875,-206.572265625
43,13.86,200.806686401367,-0.4342041015625,-299.3525390625
44,13.868333333333334,200.802749633789,1.974365234375,-415.88818359375
45,13.876666666666667,200.798004150391,5.7635498046875,-545.3408203125
46,13.885,200.792251586914,10.5863037109375,-682.9482421875
47,13.893333333333333,200.785491943359,16.6766357421875,-828.91552734375
48,13.901666666666667,200.777648925781,23.8975830078125,-975.984375
49,13.91,200.768585205078,33.043212890625,-1121.06103515625
50,13.918333333333333,200.758331298828,43.330322265625,-1258.67431640625
51,13.926666666666666,200.746795654297,54.8214111328125,-1391.9326171875
52,13.935,200.733917236328,67.3658447265625,-1516.93359375
53,13.943333333333333,200.719680786133,80.8978271484375,-1635.99755859375
54,13.951666666666666,200.703994750977,95.3961181640625,-1736.7509765625
55,13.96,200.686859130859,110.653076171875,-1827.6357421875
56,13.968333333333334,200.668334960938,126.580688476563,-1907.55908203125
57,13.976666666666667,200.648422241211,143.087768554688,-1973.65869140625
58,13.985,200.627029418945,160.230712890625,-2027.61474609375
59,13.993333333333334,200.604217529297,177.7724609375,-2070.13037109375
60,14.001666666666667,200.579986572266,195.63330078125,-2100.6181640625
61,14.01,200.554306030273,213.78466796875,-2119.85595703125
62,14.018333333333333,200.527267456055,231.83740234375,-2129.11083984375
63,14.026666666666667,200.498825073242,249.86572265625,-2126.5224609375
64,14.035,200.469116210938,267.906982421875,-2113.1279296875
65,14.043333333333333,200.438201904297,285.70458984375,-2093.8447265625
66,14.051666666666666,200.406021118164,303.2353515625,-2063.6572265625
67,14.06,200.372619628906,320.513671875,-2024.9853515625
68,14.068333333333333,200.338088989258,337.44091796875,-1981.083984375
69,14.076666666666666,200.302520751953,353.866455078125,-1926.83203125
70,14.085,200.265823364258,370.120361328125,-1868.07421875
71,14.093333333333334,200.228088378906,385.756103515625,-1807.8984375
72,14.101666666666667,200.189437866211,400.586181640625,-1743.8642578125
73,14.11,200.14990234375,414.9560546875,-1678.025390625
74,14.118333333333334,200.109588623047,428.476318359375,-1608.498046875
75,14.126666666666667,200.068389892578,441.37744140625,-1532.390625
76,14.135,200.026519775391,453.8935546875,-1455.744140625
77,14.143333333333333,199.983963012695,465.835693359375,-1379.9853515625
78,14.151666666666667,199.94075012207,477.2763671875,-1302.19921875
79,14.16,199.89697265625,487.907958984375,-1226.9794921875
80,14.168333333333333,199.852676391602,497.819580078125,-1151.7509765625
81,14.176666666666666,199.807891845703,507.068115234375,-1073.794921875
82,14.185,199.762664794922,515.5849609375,-995.021484375
83,14.193333333333333,199.717071533203,523.47265625,-917.185546875
84,14.201666666666666,199.671127319336,530.724609375,-839.7099609375
85,14.21,199.624923706055,537.356689453125,-763.1806640625
86,14.218333333333334,199.578475952148,543.37646484375,-689.5986328125
87,14.226666666666667,199.531799316406,548.754150390625,-619.318359375
88,14.235,199.484924316406,553.70849609375,-551.82421875
89,14.243333333333334,199.437896728516,557.8837890625,-486.0322265625
90,14.251666666666667,199.390731811523,561.41796875,-424.01953125
91,14.26,199.34358215332,564.53466796875,-364.03125
92,14.268333333333333,199.296356201172,567.19482421875,-307.8662109375
93,14.276666666666667,199.249145507813,569.4580078125,-252.9697265625
94,14.285,199.201919555664,571.227294921875,-203.1826171875
95,14.293333333333333,199.154724121094,572.691650390625,-156.6796875
96,14.301666666666666,199.107604980469,573.71240234375,-110.5693359375
97,14.31,199.060577392578,574.40966796875,-68.3818359375
98,14.318333333333333,199.013610839844,574.789306640625,-28.72265625
99,14.326666666666666,198.966766357422,574.815673828125,7.5791015625
100,14.335,198.920059204102,574.474609375,41.2265625
101,14.343333333333334,198.873474121094,573.748779296875,72.615234375
102,14.351666666666667,198.826995849609,572.893310546875,102.498046875
103,14.36,198.780654907227,571.8515625,129.4365234375
104,14.368333333333334,198.734497070313,570.595703125,153.158203125
105,14.376666666666667,198.688552856445,569.256103515625,174.5537109375
106,14.385,198.642730712891,567.6611328125,190.65234375
107,14.393333333333333,198.597106933594,565.8681640625,206.0537109375
108,14.401666666666667,198.551666259766,564.0029296875,219.791015625
109,14.41,198.506393432617,562.052490234375,230.583984375
110,14.418333333333333,198.461334228516,559.928466796875,240.48046875
111,14.426666666666666,198.416412353516,557.861083984375,248.0537109375
112,14.435,198.371673583984,555.72216796875,254.560546875
113,14.443333333333333,198.327163696289,553.53564453125,259.4853515625
114,14.451666666666666,198.282775878906,551.38037109375,262.599609375
115,14.46,198.238555908203,549.216064453125,263.1796875
116,14.468333333333334,198.194519042969,546.989990234375,262.7109375
117,14.476666666666667,198.150604248047,544.65478515625,260.94140625
118,14.485,198.106887817383,542.379150390625,259.552734375
119,14.493333333333334,198.063339233398,540.169189453125,258.3193359375
120,14.501666666666667,198.019912719727,537.996826171875,255.1025390625
