年月日,国内株式,国内債券,国内リート,先進国株式,先進国債券,先進国リート,新興国株式,新興国債券,全世界株式
2022-02-07,13562,10350,19067,25159,12215,19920,19332,11885,16181
2022-02-08,13620,10331,18673,25147,12210,19852,19308,11917,16175
2022-02-09,13748,10340,18986,25360,12183,19817,19378,11960,16304
2022-02-10,13821,10317,19298,25766,12219,20252,19712,12007,16558
2022-02-14,13597,10314,18884,24959,12106,19728,19620,11913,16102
2022-02-15,13484,10307,18611,24771,12063,19541,19348,11905,15968
2022-02-16,13709,10292,18986,25229,12082,19757,19568,12014,16247
2022-02-17,13600,10269,19097,25207,12098,19918,19771,12039,16248
2022-02-18,13551,10293,19018,24639,12076,19718,19634,11981,15929
2022-02-21,13457,10315,18924,24456,12106,19613,19465,11967,15809
2022-02-22,13248,10335,18649,24328,12060,19537,19229,11861,15705
2022-02-24,13083,10332,18682,23802,12028,19248,19027,11872,15393
2022-02-25,13219,10308,18698,23997,12074,19422,18366,11677,15445
2022-02-28,13293,10335,18841,24566,12044,19926,18583,11616,15771
2022-03-01,13365,10333,18961,24493,12111,19667,18489,11481,15730
2022-03-02,13102,10369,19075,23999,12194,19461,18433,11301,15445
2022-03-03,13257,10349,19005,24504,12152,19869,18455,11170,15725
2022-03-04,12998,10362,18967,24213,12073,19915,18392,11089,15547
2022-03-07,12638,10376,18867,23755,12046,19864,17896,10881,15233
2022-03-08,12398,10350,18747,23227,12039,19562,17418,10786,14891
2022-03-09,12392,10351,18505,23169,12020,19602,17324,10840,14851
2022-03-10,12893,10332,18965,23938,12039,19965,17530,10979,15313
2022-03-11,12679,10335,18808,23844,11972,20095,17737,10968,15269
2022-03-14,12766,10331,18732,23856,12072,20152,17524,11065,15260
2022-03-15,12868,10309,18651,23878,12052,20133,17137,11101,15239
2022-03-16,13056,10318,18974,24272,12081,20255,16735,11132,15424
2022-03-17,13378,10321,19077,25045,12172,20626,17775,11325,15959
2022-03-18,13452,10317,19371,25316,12172,20844,18315,11313,16163
2022-03-22,13623,10303,19814,25832,12188,21023,18386,11388,16458
2022-03-23,13939,10294,19680,26386,12278,21354,18890,11516,16824
2022-03-24,13958,10288,19897,26073,12293,21129,18985,11504,16669
2022-03-25,13958,10274,19675,26572,12386,21404,19096,11602,16946
2022-03-28,13899,10245,19963,26675,12316,21698,18914,11642,16979
2022-03-29,14027,10225,20274,27266,12517,22201,19256,11804,17336
2022-03-30,14013,10267,19975,27304,12399,22474,19206,11772,17348
2022-03-31,13862,10307,20113,27166,12439,22369,19380,11828,17283
2022-04-01,13846,10302,20305,26709,12427,22044,19191,11792,17021
2022-04-04,13914,10300,20282,26844,12406,22417,19320,11850,17110
2022-04-05,13881,10294,20301,27082,12392,22302,19613,11888,17263
2022-04-06,13695,10257,20206,27070,12385,22439,19700,11924,17265
2022-04-07,13480,10263,20066,26714,12327,22541,19427,11846,17024
2022-04-08,13509,10280,19808,26793,12294,22402,19187,11823,17045
2022-04-11,13457,10263,19982,26982,12354,22572,19353,11876,17158
2022-04-12,13272,10259,19884,26807,12376,22529,19217,11938,17038
2022-04-13,13461,10268,19926,26703,12386,22492,19203,11936,16994
2022-04-14,13588,10284,20018,26980,12444,22654,19369,11977,17167
2022-04-15,13504,10287,20008,26881,12400,22718,19442,11992,17117
2022-04-18,13387,10278,20073,26940,12428,22766,19391,12032,17136
2022-04-19,13500,10273,19859,27050,12467,22820,19421,12101,17204
2022-04-20,13637,10258,19809,27821,12618,23561,19537,12222,17637
2022-04-21,13729,10258,19936,27621,12584,23635,19356,12108,17519
2022-04-22,13566,10244,20018,27355,12551,23614,19253,12073,17356
2022-04-25,13362,10254,19986,26671,12524,23226,19049,11977,16958
2022-04-26,13376,10260,19968,26407,12431,22931,18416,11791,16756
2022-04-27,13250,10265,20093,25733,12418,22650,18414,11691,16390
2022-04-28,13527,10279,19875,25997,12465,22692,18562,11802,16561
2022-05-02,13518,10265,19985,26090,12490,22353,19257,11853,16678
2022-05-06,13645,10249,20047,26100,12407,21731,19004,11840,16668
2022-05-09,13378,10239,19867,25885,12351,21381,18564,11763,16492
2022-05-10,13266,10241,19702,24924,12320,20422,18149,11582,15930
2022-05-11,13188,10247,19540,25041,12407,20197,18088,11615,15981
2022-05-12,13033,10257,19547,24681,12383,20122,18045,11581,15774
2022-05-13,13282,10265,19833,24405,12325,20013,17554,11500,15596
2022-05-16,13277,10260,19802,25170,12342,20645,17986,11564,16047
2022-05-17,13301,10254,19894,25042,12353,20550,17961,11366,15978
2022-05-18,13429,10253,19991,25558,12336,20797,18409,11463,16305
2022-05-19,13254,10260,19944,24520,12246,20150,18245,11334,15724
2022-05-20,13378,10272,19945,24300,12269,19902,17929,11380,15584
2022-05-23,13501,10275,19996,24355,12281,19989,18229,11480,15651
2022-05-24,13384,10285,19821,24786,12277,20163,18234,11553,15873
2022-05-25,13372,10300,20089,24409,12274,20129,17847,11504,15635
2022-05-26,13379,10268,19969,24730,12332,20332,17973,11572,15818
2022-05-27,13448,10278,19995,25064,12277,20337,17978,11540,15999
2022-05-30,13698,10274,20175,25618,12294,20769,18327,11612,16345
2022-05-31,13628,10262,20219,25921,12385,21013,18830,11736,16553
2022-06-01,13814,10259,20239,25879,12372,20964,19175,11794,16574
2022-06-02,13727,10250,20277,25887,12390,20985,19154,11838,16572
2022-06-03,13775,10264,20207,26318,12406,21140,19099,11901,16799
2022-06-06,13816,10256,20239,26146,12442,21059,19161,11973,16716
2022-06-07,13873,10243,20302,26521,12506,21188,19524,12074,16955
2022-06-08,14036,10245,20358,26824,12617,21508,19488,12076,17122
2022-06-09,14030,10240,20398,26914,12730,21306,19922,12186,17214
2022-06-10,13845,10231,20235,26239,12607,20796,19758,12102,16825
2022-06-13,13544,10180,20060,25580,12519,20495,19577,11987,16436
2022-06-14,13385,10158,19543,24494,12250,19480,18821,11727,15773
2022-06-15,13223,10128,18973,24492,12245,19440,18977,11751,15778
2022-06-16,13308,10169,19325,24742,12295,19754,19004,11806,15919
2022-06-17,13079,10169,19396,23814,12252,19252,18565,11661,15367
2022-06-20,12960,10151,19226,24191,12455,19615,18737,11826,15577
2022-06-21,13224,10144,19328,24265,12439,19664,18694,11788,15630
2022-06-22,13199,10145,19166,24952,12505,19971,19181,11936,16040
2022-06-23,13193,10162,19254,24847,12627,20062,18706,11937,15935
2022-06-24,13299,10163,19307,24783,12621,20168,18622,11869,15900
2022-06-27,13446,10140,19524,25402,12555,20515,18882,11841,16266
2022-06-28,13589,10132,19837,25578,12587,20691,19272,11898,16407
2022-06-29,13508,10145,19936,25302,12579,20692,19370,11898,16264
2022-06-30,13346,10162,19886,25310,12682,20508,19201,11940,16241
